country,geo_code,iso3,annual_net_eur,annual_net_ppp,oecd_price_level_index_2024_oecd100,working_hours_2023,ppp_per_hour_2023,annual_net_eur_per_hour,annual_net_ppp_per_hour,is_uk_proxy,is_bg_ppp_proxy
Switzerland,CH,CHE,85631.07,49086.92,147.0,1528.94,32.10519706463301,56.00682171962275,32.10519706463301,False,False
Netherlands,NL,NLD,47892.48,41289.11,97.9,1438.74,28.698103896464964,33.28779348596689,28.698103896464964,False,False
Norway,NO,NOR,47231.87,38081.4,108.0,1412.06,26.968684050252826,33.44891151934054,26.968684050252826,False,False
Luxembourg,LU,LUX,50409.61,37947.33,112.0,1452.08,26.133084953997027,34.715449562007606,26.133084953997027,False,False
Austria,AT,AUT,41747.41,36994.05,95.1,1438.45,25.717995064131532,29.022496437137196,25.717995064131532,False,False
Germany,DE,DEU,39594.13,36446.6,92.6,1335.27,27.295303571562304,29.652527204235845,27.295303571562304,False,False
Iceland,IS,ISL,57573.09,35601.09,138.0,1451.99,24.518825887230626,39.651161509376784,24.518825887230626,False,False
United States,US,USA,49335.49,35579.61,122.0,1788.88,19.88932181029471,27.578982380036667,19.88932181029471,False,False
Ireland,IE,IRL,46207.8,33467.18,116.0,1654.04,20.233597736451355,27.936325602766562,20.233597736451355,False,False
Belgium,BE,BEL,36672.38,31470.87,99.2,1593.29,19.752129242008674,23.01676405425252,19.752129242008674,False,False
Sweden,SE,SWE,36147.03,31406.34,99.0,1431.5,21.939462102689486,25.251156129933634,21.939462102689486,False,False
Denmark,DK,DNK,43912.73,30691.88,120.0,1379.94,22.241459773613347,31.822202414597736,22.241459773613347,False,False
Euro area,EA20,EA20,32313.89,30488.92,88.7,,,,,False,False
Finland,FI,FIN,36876.61,29871.46,104.0,1496.85,19.956214717573573,24.636142566055383,19.956214717573573,False,False
France,FR,FRA,32353.63,29092.37,94.6,1487.1,19.56315647905319,21.75618989980499,19.56315647905319,False,False
EU,EU27_2020,EU27_2020,29691.1,28850.35,85.1,,,,,False,False
Japan,JP,JPN,25819.3,27855.64,80.0,1653.9,16.84239675917528,15.611161497067537,16.84239675917528,False,False
United Kingdom,UK,GBR,33772.98670214109,27113.97328634157,106.0,1522.8,17.805341007579177,22.1782155911092,17.805341007579177,True,False
Spain,ES,ESP,24570.88,27032.96,77.6,1637.99,16.503739339068005,15.000628819467764,16.503739339068005,False,False
Cyprus,CY,CYP,24230.0,26113.94,78.0,1839.56,14.195753332318597,13.171627997999522,14.195753332318597,False,False
Italy,IT,ITA,24797.02,25428.9,82.5,1701.42,14.94569242162429,14.574308518766676,14.94569242162429,False,False
Malta,MT,MLT,22859.04,24954.96,77.0,1847.84,13.50493549225041,12.37068144428089,13.50493549225041,False,False
Poland,PL,POL,17002.36,23535.71,61.5,1806.92,13.025319327917117,9.409580944369424,13.025319327917117,False,False
Greece,EL,GRC,18709.02,21765.89,73.6,1893.06,11.497728545318163,9.88295141199962,11.497728545318163,False,False
Türkiye,TR,TUR,11439.8,21602.06,47.2,1747.46,12.361976812058646,6.546530392684239,12.361976812058646,False,False
Romania,RO,ROU,12654.52,19879.74,54.5,1825.92,10.88751971608833,6.930489835261128,10.88751971608833,False,False
Slovenia,SI,SVN,17864.75,19806.52,76.1,1587.57,12.47599790875363,11.252889636362491,12.47599790875363,False,False
Czechia,CZ,CZE,17290.99,19555.53,75.3,1774.15,11.022478369923624,9.746069948989657,11.022478369923624,False,False
Lithuania,LT,LTU,15909.06,19498.67,69.5,1640.35,11.886896089249245,9.698576523302954,11.886896089249245,False,False
Portugal,PT,PRT,16946.92,19488.25,73.7,1734.94,11.2328092037765,9.768015032220132,11.2328092037765,False,False
Estonia,EE,EST,19022.58,19024.35,85.2,1605.74,11.84771507217856,11.84661277666372,11.84771507217856,False,False
Hungary,HU,HUN,13883.04,18882.93,63.2,1668.16,11.319615624400537,8.322367159025513,11.319615624400537,False,False
Bulgaria,BG,BGR,11073.728289268496,18298.52965857765,51.5,1659.33,11.027661561339606,6.673614223372383,11.027661561339606,False,True
Croatia,HR,HRV,13809.88,18109.56,8.65,1974.04,9.173856659439526,6.995744767076655,9.173856659439526,False,False
Latvia,LV,LVA,14550.22,17790.99,70.3,1625.24,10.946684797322243,8.952659299549605,10.946684797322243,False,False
Slovakia,SK,SVK,14069.86,16607.6,72.0,1621.23,10.243827217606384,8.678509526717368,10.243827217606384,False,False
